EVT,Past,ACRES
Current Agricultural,Past Conifer,104425
Current Agricultural,Past Grassland,1
Current Agricultural,Past Hardwood,85785
Current Agricultural,Past Hardwood-Conifer,32703
Current Agricultural,Past Riparian,10204
Current Conifer,Past Conifer,484332
Current Conifer,Past Grassland,101
Current Conifer,Past Hardwood,133945
Current Conifer,Past Hardwood-Conifer,191203
Current Conifer,Past Riparian,178920
Current Conifer-Hardwood,Past Conifer,53106
Current Conifer-Hardwood,Past Grassland,12
Current Conifer-Hardwood,Past Hardwood,58109
Current Conifer-Hardwood,Past Hardwood-Conifer,49742
Current Conifer-Hardwood,Past Riparian,5488
Developed,Past Conifer,108610
Developed,Past Grassland,23
Developed,Past Hardwood,98155
Developed,Past Hardwood-Conifer,47220
Developed,Past Riparian,30527
Exotics,Past Conifer,48410
Exotics,Past Grassland,5
Exotics,Past Hardwood,33094
Exotics,Past Hardwood-Conifer,16023
Exotics,Past Riparian,17945
Current Grassland,Past Conifer,747
Current Grassland,Past Hardwood,88
Current Grassland,Past Hardwood-Conifer,79
Current Grassland,Past Riparian,150
Current Hardwood,Past Conifer,266034
Current Hardwood,Past Grassland,70
Current Hardwood,Past Hardwood,1045946
Current Hardwood,Past Hardwood-Conifer,173061
Current Hardwood,Past Riparian,126991
Current Riparian,Past Conifer,88460
Current Riparian,Past Grassland,39
Current Riparian,Past Hardwood,48812
Current Riparian,Past Hardwood-Conifer,32118
Current Riparian,Past Riparian,1919701
Current Shrubland,Past Conifer,1
Current Shrubland,Past Hardwood,70
Current Shrubland,Past Hardwood-Conifer,131
Current Shrubland,Past Riparian,2
