"","VALUE","Freq","LABEL","DESCRIPTION","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",-1111,1334,"Fill-Not Mapped","Fill-Not Mapped",111,111,111,0.435294,0.435294,0.435294,297,0
"2",1,497145,"A","Succession Class A",161,99,51,0.631373,0.388235,0.2,110562,1.9
"3",2,901694,"B","Succession Class B",56,168,0,0.219608,0.658824,0,200532,3.5
"4",3,4470171,"C","Succession Class C",201,222,171,0.788235,0.870588,0.670588,994142,17.5
"5",4,11256213,"D","Succession Class D",255,248,166,1,0.972549,0.65098,2503322,44.1
"6",5,3285508,"E","Succession Class E",0,74,77,0,0.290196,0.301961,730679,12.9
"7",6,1081141,"UN","Uncharacteristic Native Vegetation Cover/Structure/Composition",160,0,0,0.627451,0,0,240440,4.2
"8",7,912019,"UE","Uncharacteristic Exotic Vegetation",255,0,0,1,0,0,202828,3.6
"9",111,825187,"Water","Water",0,0,255,0,0,1,183517,3.2
"10",120,1197812,"Developed","Developed",132,0,138,0.517647,0,0.541176,266387,4.7
"11",132,46723,"Barren or Sparse","Barren or Sparse",191,191,191,0.74902,0.74902,0.74902,10391,0.2
"12",180,1048259,"Agriculture","Agriculture",223,115,255,0.87451,0.45098,1,233127,4.1
